,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
55,914,ALB,PPPPC,Albania,"Gross domestic product per capita, current prices","Expressed in GDP in PPP dollars per person. Data are derived by dividing GDP in PPP dollars by total population. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2155.36,2444.3,2614.75,2689.39,2783.01,2770.39,2927.3,2916.87,2921.8,3245.53,2976.25,2228.77,2128.3,2402.52,2701.03,3021.7,3377.97,3080.04,3411.12,3929.91,4325.59,4835.02,5148.56,5561.21,6050.65,6619.06,7271.78,7975.19,8805.05,9220.65,9725.55,10207.74,10526.27,10570.98,11259.26,11662.0,12077.6,13039.7,13901.67,14467.09,14171.93,15487.0,16667.39,17813.08,18951.28,20102.76,21305.3,2020.0
100,612,DZA,PPPPC,Algeria,"Gross domestic product per capita, current prices","Expressed in GDP in PPP dollars per person. Data are derived by dividing GDP in PPP dollars by total population. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",4807.98,5257.38,5754.71,6102.67,6469.22,6722.11,6663.64,6606.8,6514.93,6923.03,7146.41,7122.67,7224.62,7072.62,7001.95,7274.61,7553.11,7639.76,7992.63,8236.77,8588.41,8914.44,9420.38,10145.84,10704.69,11517.75,11893.6,12437.94,12700.67,12741.34,13097.1,13480.05,13263.91,13003.31,12940.0,11944.99,11543.3,11644.06,11822.44,11893.88,11239.55,11828.52,12181.1,12478.27,12667.16,12765.83,12853.43,2019.0
190,614,AGO,PPPPC,Angola,"Gross domestic product per capita, current prices","Expressed in GDP in PPP dollars per person. Data are derived by dividing GDP in PPP dollars by total population. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1222.21,1245.31,1288.18,1359.27,1454.37,1378.06,1406.4,1462.64,1564.65,1583.26,1544.61,1737.67,1922.26,2120.07,2323.25,2541.54,2794.31,2960.45,3042.93,3061.28,3132.3,3240.37,3631.64,3702.95,4095.95,4717.74,5266.91,5987.46,6586.08,6490.49,6687.07,6857.29,7623.61,7948.02,8507.96,7668.51,7449.18,7675.54,7468.25,7340.92,6824.55,6819.6,6964.04,7152.42,7362.09,7581.35,7787.61,2017.0
235,311,ATG,PPPPC,Antigua and Barbuda,"Gross domestic product per capita, current prices","Expressed in GDP in PPP dollars per person. Data are derived by dividing GDP in PPP dollars by total population. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",3997.02,4577.96,4913.05,5457.85,6331.69,7150.88,8276.66,9203.06,10175.94,11232.97,12016.13,12590.0,12816.23,13507.34,14344.94,13638.54,14406.06,15031.03,15495.81,15903.65,16915.33,16232.98,16477.65,17633.56,18946.7,20583.96,23660.05,26279.64,26493.96,23223.41,21428.6,21223.83,20392.93,19498.87,19674.14,19456.15,20388.52,20190.63,21775.05,22870.93,18237.92,18801.39,20381.81,21725.55,22883.6,23845.32,24665.81,2011.0
280,213,ARG,PPPPC,Argentina,"Gross domestic product per capita, current prices","Expressed in GDP in PPP dollars per person. Data are derived by dividing GDP in PPP dollars by total population. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",6172.51,6256.47,6327.15,6725.08,6988.09,6595.21,7117.3,7393.59,7413.92,7077.09,7094.54,7996.31,8899.4,9537.83,10178.73,9972.8,10589.85,11512.48,11955.65,11587.12,11633.0,11256.71,10089.08,11104.74,12303.2,13681.19,15090.27,16728.5,17567.28,16472.34,18063.91,19322.23,19641.35,20131.68,19683.77,20105.2,20307.87,23597.12,23303.08,22995.11,20759.46,22891.7,23862.86,24672.55,25434.64,26180.44,26944.12,2019.0
415,193,AUS,PPPPC,Australia,"Gross domestic product per capita, current prices","Expressed in GDP in PPP dollars per person. Data are derived by dividing GDP in PPP dollars by total population. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",10493.28,11771.25,12302.17,12563.47,13671.85,14664.85,15100.16,15977.4,16942.12,18149.18,18851.89,19062.12,19792.94,20859.88,22131.58,22946.83,24059.9,25343.85,26555.47,27812.3,28962.97,30004.74,31378.44,32519.58,34389.66,36063.96,37597.7,39577.55,40526.86,40811.24,41691.91,43089.92,42905.55,46505.79,47018.13,46407.23,48135.26,49748.46,51559.22,52675.25,51780.63,55492.21,59083.46,61397.12,63607.67,65883.79,68177.88,2020.0
460,122,AUT,PPPPC,Austria,"Gross domestic product per capita, current prices","Expressed in GDP in PPP dollars per person. Data are derived by dividing GDP in PPP dollars by total population. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",11227.04,12252.31,13240.95,14187.11,14746.34,15543.38,16210.52,16868.12,17608.35,18965.09,20394.2,21622.62,22323.6,22729.42,23634.05,24712.36,25733.62,26695.11,27931.75,29275.66,30875.24,31848.75,32717.29,33527.29,35147.25,36811.31,39055.31,41469.21,42745.92,41301.36,42465.96,44469.2,46477.67,47936.68,48813.54,49955.47,52659.77,54390.55,56676.96,58679.73,55453.13,59405.59,63470.14,66014.89,68527.32,71060.95,73471.72,2019.0
550,313,BHS,PPPPC,The Bahamas,"Gross domestic product per capita, current prices","Expressed in GDP in PPP dollars per person. Data are derived by dividing GDP in PPP dollars by total population. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",12571.87,13112.42,14461.87,15691.86,16284.91,17262.46,17761.67,18559.78,19246.58,20116.5,20739.36,20200.76,19530.94,19712.44,20412.39,21311.89,22236.07,23343.11,24315.13,25994.83,27249.24,28172.11,28961.78,28751.74,29378.6,30914.68,32274.31,33224.78,32689.61,31166.93,31673.22,32170.21,33251.61,32624.58,34212.6,34869.35,35238.96,36821.57,38316.44,38842.21,33233.45,34731.72,38115.52,40134.01,41995.09,43196.4,44257.44,2018.0
595,419,BHR,PPPPC,Bahrain,"Gross domestic product per capita, current prices","Expressed in GDP in PPP dollars per person. Data are derived by dividing GDP in PPP dollars by total population. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",20778.82,22478.86,24507.44,26349.93,27516.66,27186.17,26918.06,26308.12,27855.11,28223.49,30043.63,30499.11,32871.25,35268.81,36213.55,36705.12,37588.9,38116.77,39364.09,41202.89,43920.02,44376.25,43349.55,43671.61,44525.27,45440.03,46153.43,47436.52,48243.91,46748.67,47117.03,50673.37,54489.15,54035.42,51938.11,45626.7,44833.97,47486.02,49391.75,52233.65,50566.87,53127.62,55150.26,57038.98,58925.18,60819.34,62718.59,2020.0
640,513,BGD,PPPPC,Bangladesh,"Gross domestic product per capita, current prices","Expressed in GDP in PPP dollars per person. Data are derived by dividing GDP in PPP dollars by total population. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",511.187,575.447,614.329,650.679,684.262,713.385,737.07,757.259,782.123,826.606,875.478,921.455,965.892,1009.41,1054.69,1104.34,1156.05,1212.48,1261.5,1321.61,1399.64,1472.32,1539.43,1631.99,1749.67,1889.99,2053.93,2219.54,2359.68,2473.25,2624.23,2820.25,3137.64,3333.28,3583.72,3810.08,4118.94,4450.31,4870.37,5329.61,5287.47,5732.8,6375.01,6932.78,7534.38,8178.39,8859.23,2020.0
